"keyword","count"
"piece",157
"shame",157
"ya ya",157
"cars",156
"hello",156
"im going",156
"nah",156
"still love",156
"ten",156
"changed",155
"dont mind",155
"even though",155
"harder",155
"jeans",155
"long time",155
"losing",155
"means",155
"scream",155
"take time",155
"baby oh",154
"clap",154
"round round",154
"stone",154
"aye",152
"bottom",152
"breaking",152
"everybodys",152
"family",152
"hips",152
"less",152
"look eyes",152
"played",152
"pride",152
"waste",152
"wee",152
"cup",151
"ill take",151
"land",151
"love girl",151
"now baby",151
"tellin",151
"bop bop",150
"dress",150
"fade",150
"ooh baby",150
"say say",150
"tough",150
"cause got",149
"hanging",149
"hold tight",149
"key",149
"love know",149
"sick",149
"supposed",149
"block",148
"brand",148
"girl im",148
"hurts",148
"learned",148
"motion",148
"queen",148
"rolling",148
"dont ever",147
"im ready",147
"memory",147
"pussy",147
"speak",147
"candy",146
"cant wait",146
"diamond",146
"faith",146
"grab",146
"kill",146
"shut",146
"skin",146
"type",146
"baby youre",145
"cant believe",145
"dollar",145
"dont get",145
"drunk",145
"great",145
"track",145
"beside",144
"come come come",144
"didnt know",144
"dont really",144
"im sorry",144
"last night",144
"never ever",144
"yeah baby",144
"proud",143
"say dont",143
"slide",143
"someday",143
"brand new",142
"hurry",142
"love got",142
"mirror",142
"starts",142
"waitin",142
"dear",141
"go back",141
"go let",141
"mountain",141
"theyll",141
"bag",140
"cruel",140
"fame",140
"working",140
"aint gonna",139
"shout",139
"sweat",139
"boom boom",138
"brown",138
"future",138
"heres",138
"king",138
"probably",138
"prove",138
"feel good",137
"get away",137
"just keep",137
"rush",137
"war",137
"will always",137
"cross",136
"dont like",136
"empty",136
"go get",136
"held",136
"right right",136
"ends",135
"first time",135
"girlfriend",135
"never knew",135
"shoulder",135
"singin",135
"anyone",134
"baby baby baby baby",134
"callin",134
"cant let",134
"children",134
"im gon",134
"know cant",134
"midnight",134
"oh yes",134
"rich",134
"safe",134
"twice",134
"deny",133
"itll",133
"knowing",133
"stick",133
"bought",132
"come true",132
"earth",132
"girl youre",132
"ha ha ha",132
"hip",132
"im feeling",132
"know know know",132
"passion",132
"year",132
"anybody",131
"corner",131
"dog",131
"see im",131
"simple",131
"want back",131
"weve got",131
"wife",131
"yesterday",131
"beach",130
"crowd",130
"cryin",130
"enjoy",130
"holla",130
"im like",130
"love now",130
"sent",130
"whole world",130
"love need",129
"ooh ooh ooh ooh",129
"slip",129
"theres one",129
"trip",129
"walkin",129
"blood",128
"boo",128
"dont mean",128
"get right",128
"grown",128
"six",128
"weak",128
"wings",128
"baby ill",127
"girl like",127
"guys",127
"lovely",127
"problem",127
"think can",127
"baby let",126
"explain",126
"father",126
"get enough",126
"raise",126
"slowly",126
"wondering",126
"ago",125
"american",125
"baby come",125
"dont make",125
"give give",125
"happened",125
"havent",125
"kept",125
"love want",125
"satisfied",125
"thang",125
"uh uh uh",125
"baby cant",124
"bottle",124
"dont leave",124
"dont say",124
"given",124
"pretend",124
"respect",124
"shy",124
"spent",124
"stroke",124
"youre gone",124
"call name",123
"paradise",123
"anyway",122
"anywhere",122
"bust",122
"double",122
"fantasy",122
"hey baby",122
"id like",122
"id rather",122
"live life",122
"theres something",122
"youre just",122
"cause love",121
"driving",121
"hundred",121
"leave alone",121
"let go let",121
"never never",121
"scene",121
"take hand",121
"youll see",121
"choose",120
"couple",120
"dont see",120
"go go go",120
"hop",120
"one else",120
"short",120
"sounds",120
"turns",120
"wow",120
"coming back",119
"oh dont",119
"park",119
"places",119
"space",119
"asked",118
"go dont",118
"ill tell",118
"im feelin",118
"kisses",118
"know need",118
"little love",118
"lock",118
"poppin",118
"quit",118
"takin",118
"thoughts",118
"wanna take",118
"act like",117
"deep inside",117
"dont tell",117
"fact",117
"like hot",117
"luck",117
"one love",117
"point",117
"searching",117
"cash",116
"cover",116
"died",116
"fake",116
"sense",116
"escape",115
"jump jump",115
"loose",115
"move move",115
"really need",115
"saturday",115
"shed",115
"somebodys",115
"stronger",115
"wiggle",115
"build",114
"freedom",114
"hear say",114
"love come",114
"nothing can",114
"price",114
"romance",114
"break heart",113
"cant live",113
"ive seen",113
"just get",113
"oh im",113
"stupid",113
"love cant",112
"mornin",112
"nasty",112
"plan",112
"south",112
"tell love",112
"true love",112
"broken heart",111
"good times",111
"just another",111
"love thats",111
"now can",111
"oh love",111
"oh whoa",111
"one two",111
"shack",111
"small",111
"week",111
"wonderful",111
"yeah know",111
"begin",110
"blues",110
"dance floor",110
"dont know im",110
"ear",110
"edge",110
"go home",110
"hour",110
"instead",110
"know really",110
"love let",110
"love yeah",110
"love youre",110
"make lose",110
"sleeping",110
"snow",110
"take take",110
"tell im",110
"baby got",109
"disco",109
"dont feel",109
"get way",109
"gonna love",109
"got one",109
"gotta gotta",109
"im never",109
"like know",109
"others",109
"rules",109
"whisper",109
"brain",108
"bump",108
"can hear",108
"cause cant",108
"dont believe",108
"dont understand",108
"im hot",108
"little thing",108
"look like",108
"mercy",108
"mistake",108
"much love",108
"now got",108
"quick",108
"strange",108
"taken",108
"turnin",108
"uh oh",108
"ah ah ah",107
"cant stand",107
"dawn",107
"figure",107
"go let go",107
"sitting",107
"walls",107
"will come",107
"aint nothing",106
"another day",106
"bring back",106
"can dig",106
"just way",106
"know now",106
"need girl",106
"ocean",106
"thick",106
"uhh",106
"wanna say",106
"want dont",106
"can can",105
"country",105
"dust",105
"im back",105
"im tired",105
"know aint",105
"nana",105
"never thought",105
"seven",105
"survive",105
"baby lets",104
"darkness",104
"editor",104
"ever ever",104
"im glad",104
"im gonna make",104
"let get",104
"let go let go",104
"long long",104
"quite",104
"theyve",104
"way make",104
