"","Artist","Freq"
"754","hall  oates",7
"767","helen reddy",7
"773","hermans hermits",7
"822","ja rule",7
"835","james brown",7
"851","jason derulo",7
"992","keha",7
"1073","linda ronstadt",7
"1078","linkin park",7
"1088","little river band",7
"1089","ll cool j",7
"1120","luke bryan",7
"1277","n sync",7
"1356","onerepublic",7
"1365","outkast",7
"1403","paula abdul",7
"1624","sheena easton",7
"1640","simon  garfunkel",7
"1707","sting",7
"1852","the jackson 5",7
"1916","the spinners",7
"1969","timbaland",7
"1980","toby keith",7
"2004","tpain",7
"2015","trey songz",7
"2026","u2",7
"2062","war",7
"5","112",6
"10","2pac",6
"24","98 degrees",6
"31","abba",6
"36","ace of base",6
"50","al green",6
"62","alice cooper",6
"131","babyface",6
"142","barbra streisand",6
"186","billy ocean",6
"195","bj thomas",6
"289","busta rhymes",6
"313","carrie underwood",6
"365","christopher cross",6
"369","ciara",6
"387","coldplay",6
"389","color me badd",6
"404","creed",6
"415","culture club",6
"418","cyndi lauper",6
"542","dr dre",6
"564","ed sheeran",6
"592","elvis presley",6
"597","en vogue",6
"627","expose",6
"631","faith hill",6
"640","fergie",6
"734","goo goo dolls",6
"779","hootie  the blowfish",6
"808","imagine dragons",6
"816","inxs",6
"849","jason aldean",6
"889","jewel",6
"926","john denver",6
"930","john mayer",6
"949","johnny rivers",6
"962","journey",6
"973","justin bieber",6
"990","kc and the sunshine band",6
"1042","lady antebellum",6
"1241","milli vanilli",6
"1310","new kids on the block",6
"1333","no doubt",6
"1463","puff daddy",6
"1556","roxette",6
"1615","shakira",6
"1656","sly  the family stone",6
"1694","steely dan",6
"1701","steve winwood",6
"1758","the 5th dimension",6
"1840","the hollies",6
"1887","the ojays",6
"1895","the pointer sisters",6
"1936","the turtles",6
"1974","tina turner",6
"1989","tommy james and the shondells",6
"2011","train",6
"2036","van halen",6
"81","amy grant",5
"111","ashanti",5
"129","baby bash",5
"167","bette midler",5
"183","billy idol",5
"198","blake shelton",5
"219","bob seger  the silver bullet band",5
"253","boz scaggs",5
"296","calvin harris",5
"303","captain  tennille",5
"309","carly simon",5
"352","chingy",5
"392","coolio",5
"441","daughtry",5
"447","david bowie",5
"461","debbie gibson",5
"537","donny osmond",5
"543","dr hook",5
"550","dru hill",5
"630","faith evans",5
"691","gary puckett  the union gap",5
"722","glen campbell",5
"750","guns n roses",5
"751","gwen stefani",5
"830","jagged edge",5
"925","john cougar mellencamp",5
"929","john lennon",5
"1004","kenny loggins",5
"1047","laura branigan",5
"1049","leann rimes",5
"1058","leo sayer",5
"1097","lonestar",5
"1195","meghan trainor",5
"1300","nelly furtado",5
"1313","next",5
"1355","one direction",5
"1379","pat benatar",5
"1394","paul mccartney",5
"1399","paul revere  the raiders",5
"1400","paul simon",5
"1429","petula clark",5
"1465","pussycat dolls",5
"1497","real mccoy",5
"1498","red hot chili peppers",5
"1517","rick springfield",5
"1525","ringo starr",5
"1534","robert palmer",5
"1601","seal",5
"1617","shania twain",5
"1662","snoop dogg",5
"1681","spice girls",5
"1699","steve miller band",5
"1719","survivor",5
"1728","swv",5
"1745","tears for fears",5
"1756","tevin campbell",5
"1770","the bangles",5
"1792","the cars",5
"1813","the doors",5
"1828","the fray",5
"1836","the guess who",5
"1850","the isley brothers",5
"1856","the jets",5
"1877","the miracles",5
"1879","the monkees",5
"1896","the police",5
"1903","the righteous brothers",5
"1956","third eye blind",5
"1999","total",5
"2000","toto",5
"2073","wham",5
"2093","wings",5
