"","Artist","Freq"
"570","eddie rabbitt and crystal gayle",1
"571","eddy grant",1
"572","edens crush",1
"574","edie brickell  new bohemians",1
"575","edison lighthouse",1
"576","edward bear",1
"577","edward maya",1
"578","edwin hawkins singers",1
"579","edwin mccain",1
"581","eiffel 65",1
"582","el debarge",1
"585","ella henderson",1
"586","elle king",1
"588","elliott yamin",1
"590","elton john  kiki dee",1
"591","elvin bishop",1
"593","emeli sande",1
"594","emf",1
"596","eminem dr dre and 50 cent",1
"602","enya",1
"603","erasure",1
"604","eric benet",1
"605","eric burdon  war",1
"607","eric church",1
"609","eric weissberg  steve mandell",1
"610","erick sermon",1
"611","eruption",1
"613","estelle",1
"614","eternal",1
"615","europe",1
"617","evan and jaron",1
"620","eve 6",1
"621","evelyn champagne king",1
"622","everclear",1
"623","everlast",1
"624","every mothers son",1
"625","everything but the girl",1
"626","exile",1
"632","faith no more",1
"633","falco",1
"635","fancy",1
"636","fantasia",1
"638","fastball",1
"643","fifth harmony",1
"644","filter",1
"647","firefall",1
"649","five",1
"650","five americans",1
"652","five man electrical band",1
"653","five stairsteps",1
"656","floetry",1
"658","focus",1
"659","foghat",1
"660","foo fighters",1
"661","force mds",1
"663","fort minor",1
"664","foster the people",1
"666","foxy",1
"667","foxy brown",1
"668","frank  nancy sinatra",1
"669","frank mills",1
"670","frank sinatra",1
"671","frank stallone",1
"672","franke and the knockouts",1
"675","freak nasty",1
"677","freddie and the dreamers",1
"678","freddie hart",1
"680","free",1
"681","frida",1
"682","friend  lover",1
"683","frijid pink",1
"684","fuel",1
"686","gabrielle",1
"687","gallery",1
"689","gary lewis and the playboys",1
"690","gary numan",1
"692","gary us bonds",1
"695","gavin rossdale",1
"696","gene  debbe",1
"697","gene chandler",1
"698","general public",1
"701","george duke  stanley clarke",1
"702","george ezra",1
"704","george mccrae",1
"706","george michael and elton john",1
"708","georgia satellites",1
"709","georgie fame",1
"710","gerald levert",1
"711","gerardo",1
"712","gerry and the pacemakers",1
"713","gerry rafferty",1
"714","ghost town djs",1
"717","gina g",1
"724","glenn medeiros",1
"725","glenn medeiros and bobby brown",1
"726","glenn yarbrough",1
"730","gloria loring and carl anderson",1
"731","gnarls barkley",1
"737","gotye",1
"739","grand funk",1
"741","great white",1
"743","green jell""y",1
"744","greg guidry",1
"745","gregory abbott",1
"746","gretchen wilson",1
"748","grover washington jr  bill withers",1
"749","gunit",1
"758","harold faltermeyer",1
"759","harold melvin  the blue notes",1
"762","havana brown",1
"765","heavy d",1
"768","hellogoodbye",1
"769","henry gross",1
"770","henry mancini",1
"772","herb alpert and the tijuana brass",1
"775","high inergy",1
"777","honey cone",1
"778","hoobastank",1
"780","horst jankowski",1
"781","hot",1
"782","hot butter",1
"783","hot chelle rae",1
"785","house of pain",1
"786","houston",1
"788","howie day",1
"789","hozier",1
"790","htown",1
"791","huey",1
"793","hugh masekela",1
"794","hugo montenegro",1
"796","hurricane chris",1
"797","hurricane smith",1
"798","ian matthews",1
"799","ian whitcomb",1
"801","icehouse",1
"802","icona pop",1
"803","idina menzel",1
"806","ilovemakonnen",1
"807","ilovememphis",1
"810","incubus",1
"811","information society",1
"815","instant funk",1
"823","jack jones",1
"824","jack wagner",1
"826","jackie wilson",1
"828","jadakiss",1
"833","james  bobby purify",1
"834","james blunt",1
"836","james ingram",1
"837","james ingram and michael mcdonald",1
"838","james newton howard",1
"841","jamie walters",1
"842","jan hammer",1
"843","jane child",1
"847","janis joplin",1
"848","jann arden",1
"853","jay  the techniques",1
"855","jay ferguson",1
"857","jay z",1
"860","jayz and kanye west",1
"861","jayz and linkin park",1
"862","jd souther",1
"863","jean knight",1
"864","jeannie c riley",1
"868","jennifer paige",1
"869","jennifer warnes",1
"871","jeremy jordan",1
"872","jermaine dupri",1
"874","jermaine stewart",1
"875","jerrod niemann",1
"877","jerry butler  brenda lee eager",1
"880","jesse powell",1
"881","jessi colter",1
"882","jessica andrews",1
"887","jet",1
"888","jethro tull",1
"890","jewel akens",1
"891","jibbs",1
"892","jidenna",1
"896","jimmy buffett",1
"897","jimmy castor bunch",1
"898","jimmy cliff",1
"899","jimmy eat world",1
"900","jimmy ray",1
"901","jimmy ruffin",1
"902","jive bunny and the mastermixers",1
"903","jkwon",1
"905","joan baez",1
"906","joan jett  the blackhearts",1
"908","joan osborne",1
"913","joe cocker and jennifer warnes",1
"915","joe public",1
"920","joey lawrence",1
"921","joey mcintyre",1
"922","joey scarbury",1
"923","john cafferty  the beaver brown band",1
"927","john fred  his playboy band",1
"932","john michael montgomery",1
"933","john parr",1
"934","john paul young",1
"935","john schneider",1
"936","john sebastian",1
"937","john stewart",1
"938","john travolta",1
"940","john waite",1
"942","johnny bristol",1
"943","johnny cash",1
"944","johnny gill",1
"945","johnny hates jazz",1
"946","johnny maestro  the brooklyn bridge",1
"947","johnny mathis  deniece williams",1
"952","jon bon jovi",1
"954","jonas brothers",1
"955","jonathan edwards",1
"956","joni mitchell",1
"957","jordan knight",1
"959","jordin sparks and chris brown",1
"960","jose feliciano",1
"961","joshua kadison",1
"963","jr walker  the all stars",1
"964","jt money",1
"965","jud strunk",1
"966","judy collins",1
"967","juelz santana",1
"970","julio iglesias and willie nelson",1
"972","junior walker  the all stars",1
"976","k p  envyi",1
"977","kajagoogoo",1
"978","kandi",1
"981","kanye west big sean pusha t and 2 chainz",1
"982","kardinal offishall",1
"983","karla bonoff",1
"984","karmin",1
"986","kathy troccoli",1
"987","katrina and the waves",1
"989","kc  the sunshine band",1
"993","keith",1
"994","keith carradine",1
"996","keith urban",1
"999","kelly price",1
"1000","kelly rowland",1
"1001","kendrick lamar",1
"1005","kenny loggins  stevie nicks",1
"1008","kenny rogers  kim carnes",1
"1010","kenny rogers and dolly parton",1
"1011","kenny rogers and sheena easton",1
"1013","kesha",1
"1014","kevin lyttle",1
"1016","kevon edmonds",1
"1018","kid cudi",1
"1019","kid ink",1
"1023","king floyd",1
"1024","king harvest",1
"1026","kip moore",1
"1027","kirko bangz",1
"1029","klymaxx",1
"1030","kongos",1
"1032","kris kristofferson",1
"1034","kristinia debarge",1
"1035","kt tunstall",1
"1036","kws",1
"1038","kyper",1
"1040","la roux",1
"1041","labelle",1
"1044","lamont dozier",1
"1045","lana del rey and cedric gervais",1
"1046","larry groce",1
"1050","leblanc  carr",1
"1053","lee dorsey",1
"1054","lee michaels",1
"1055","leif garrett",1
"1056","len",1
"1060","lesley gore",1
"1061","level 42",1
"1062","levert",1
"1065","lil bow wow",1
"1070","lil mo",1
"1071","lil romeo",1
"1074","linda ronstadt and aaron neville",1
"1075","linda ronstadt and james ingram",1
"1076","lindsey buckingham",1
"1077","linear",1
"1080","lipps inc",1
"1082","lisa loeb",1
"1083","lisa loeb and nine stories",1
"1084","lisa stansfield",1
"1085","lita ford and ozzy osbourne",1
"1086","little anthony and the imperials",1
"1091","lloyd banks",1
"1094","loggins and messina",1
"1095","london symphony orchestra",1
"1096","londonbeat",1
"1098","looking glass",1
"1099","lord david dundas",1
"1100","lord tariq and peter gunz",1
"1102","loreena mckennitt",1
"1103","los bravos",1
"1105","los lobos",1
"1106","los lonely boys",1
"1107","lou bega",1
"1111","love and rockets",1
"1112","love unlimited",1
"1113","love unlimited orchestra",1
"1115","lovin spoonful",1
"1116","lsg",1
"1117","ltd",1
"1119","luke",1
"1121","lulu",1
"1122","lumidee",1
"1123","luniz",1
"1125","luscious jackson",1
"1126","luther ingram",1
"1128","luther vandross and janet jackson",1
"1129","luther vandross and mariah carey",1
"1130","lynn anderson",1
"1131","lynyrd skynyrd",1
"1132","m",1
"1133","m""otley cr""ue",1
"1135","m'ya and sisqo",1
"1136","mac and katie kissoon",1
"1138","macklemore  ryan lewis",1
"1140","macy gray",1
"1141","madness",1
"1143","magic",1
"1144","major harris",1
"1145","major lazer and dj snake",1
"1146","mama cass elliot",1
"1147","manfred mann",1
"1148","manfred manns earth band",1
"1150","marcy playground",1
"1151","maria muldaur",1
"1153","mariah carey and boyz ii men",1
"1154","marilyn mccoo  billy davis jr",1
"1156","mario winans",1
"1157","mark chesnutt",1
"1158","mark lindsay",1
"1159","mark morrison",1
"1160","mark ronson",1
"1161","mark wills",1
"1163","marmalade",1
"1166","martika",1
"1167","martin garrix",1
"1168","martin page",1
"1169","marty balin",1
"1172","marvin hamlisch",1
"1173","mary hopkin",1
"1175","mary jane girls",1
"1176","mary macgregor",1
"1177","mary mary",1
"1179","mason williams",1
"1181","matchbox 20",1
"1183","matthew wilder",1
"1184","matthews southern comfort",1
"1185","maureen mcgovern",1
"1191","mcfadden  whitehead",1
"1193","meco",1
"1194","meek mill",1
"1196","mel and tim",1
"1197","mel carter",1
"1201","mellow man ace",1
"1203","men without hats",1
"1204","mercy",1
"1205","meredith brooks",1
"1207","merrilee rush",1
"1208","metallica",1
"1209","method man",1
"1210","metro station",1
"1211","mfsb",1
"1212","mia",1
"1215","michael buble",1
"1216","michael damian",1
"1217","michael franti  spearhead",1
"1219","michael jackson and janet jackson",1
"1220","michael jackson and justin timberlake",1
"1221","michael jackson and paul mccartney",1
"1222","michael jackson with siedah garrett",1
"1223","michael johnson",1
"1224","michael martin murphey",1
"1226","michael murphey",1
"1227","michael sembello",1
"1228","michael w smith",1
"1229","michelle",1
"1231","mickey gilley",1
"1234","mike jones",1
"1235","mike oldfield",1
"1237","mike post",1
"1238","mike reno and ann wilson",1
"1239","mike will madeit",1
"1242","mims",1
"1243","minnie riperton",1
"1244","mint condition",1
"1246","miranda lambert and carrie underwood",1
"1248","mitch ryder  the detroit wheels",1
"1249","mkto",1
"1250","mo thugs",1
"1251","moby",1
"1252","mocedades",1
"1253","mokenstef",1
"1255","monifah",1
"1257","moody blues",1
"1258","morris albert",1
"1259","motherlode",1
"1260","mountain",1
"1261","mouth  macneal",1
"1262","moving pictures",1
"1264","mr cheeks",1
"1266","mr president",1
"1267","mr probz",1
"1268","mumford  sons",1
"1269","mungo jerry",1
"1270","murray head",1
"1271","murray head  the trindad singers",1
"1272","musical youth",1
"1274","my chemical romance",1
"1276","n ii u",1
"1278","n sync and gloria estefan",1
"1279","n2deep",1
"1281","nancy sinatra",1
"1282","nas",1
"1283","nas and bravehearts",1
"1284","natalie",1
"1286","natalie la rose",1
"1289","natural selection",1
"1290","naughty boy",1
"1292","nazareth",1
"1293","neil  dara sedaka",1
"1295","neil diamond  barbra streisand",1
"1297","neil sedaka  elton john",1
"1298","neil young",1
"1301","nelly p diddy and murphy lee",1
"1302","nelly paul wall and ali  gipp",1
"1304","nena",1
"1305","neneh cherry",1
"1308","new colony six",1
"1311","new vaudeville band",1
"1312","new york city",1
"1315","nick cannon",1
"1316","nick gilder",1
"1318","nick lachey",1
"1320","nicki french",1
"1322","nicky jam and enrique iglesias",1
"1323","nico  vinz",1
"1324","nicole",1
"1325","nicolette larson",1
"1326","nigel olsson",1
"1328","nina sky",1
"1329","nine days",1
"1330","nirvana",1
"1331","nitty gritty dirt band",1
"1332","nivea",1
"1335","norah jones",1
"1336","nore",1
"1337","norman greenbaum",1
"1338","nu flavor",1
"1339","nu shooz",1
"1340","o c smith",1
"1341","oasis",1
"1342","ocean",1
"1343","odyssey",1
"1344","of monsters and men",1
"1345","ohio express",1
"1347","oleta adams",1
"1350","olivia newtonjohn  cliff richard",1
"1351","ollie  jerry",1
"1352","olly murs",1
"1354","omi",1
"1357","onyx",1
"1358","orchestral manoeuvres in the dark",1
"1359","orianthi",1
"1360","original cast of godspell",1
"1362","ot genasis",1
"1363","otis redding",1
"1364","otown",1
"1367","owl city and carly rae jepsen",1
"1368","ozark mountain daredevils",1
"1371","pacific gas  electric",1
"1372","panic at the disco",1
"1373","papa roach",1
"1374","paper lace",1
"1375","paperboy",1
"1380","patrick hernandez",1
"1381","patrick swayze",1
"1382","patti austin and james ingram",1
"1383","patti labelle and michael mcdonald",1
"1384","patti page",1
"1385","patti smith group",1
"1386","patty duke",1
"1387","patty smyth",1
"1388","paul  linda mccartney",1
"1390","paul anka  odia coates",1
"1391","paul carrack",1
"1393","paul mauriat",1
"1396","paul mccartney and michael jackson",1
"1397","paul mccartney and stevie wonder",1
"1401","paul stookey",1
"1404","paula abdul and the wild pair",1
"1406","paula deanda",1
"1407","peabo bryson",1
"1408","peabo bryson and regina belle",1
"1409","peabo bryson and roberta flack",1
"1413","people",1
"1415","perry como",1
"1417","pet shop boys with dusty springfield",1
"1418","pete townshend",1
"1420","peter brown",1
"1422","peter cetera and amy grant",1
"1425","peter mccann",1
"1426","peter paul and mary",1
"1427","peter schilling",1
"1428","petey pablo",1
"1430","pharrell",1
"1431","pharrell williams",1
"1433","phil collins and marilyn martin",1
"1434","philip bailey and phil collins",1
"1436","phoebe snow",1
"1437","pilot",1
"1441","pitbull and neyo",1
"1442","plain white ts",1
"1443","planet soul",1
"1449","portrait",1
"1450","positive k",1
"1451","power station",1
"1452","pras michel",1
"1453","pretty poison",1
"1458","procol harum",1
"1459","pseudo echo",1
"1461","public announcement",1
"1464","pure prairie league",1
"1466","quad city djs",1
"1469","queen latifah",1
"1470","queensr""yche",1
"1471","quiet riot",1
"1472","quincy jones",1
"1473","r city",1
"1474","r dean taylor",1
"1476","r kelly and celine dion",1
"1477","rachel platten",1
"1478","rae sremmurd",1
"1479","ralph tresvant",1
"1480","ramsey lewis trio",1
"1481","randy houser",1
"1482","randy newman",1
"1483","randy vanwarmer",1
"1484","raphael saadiq",1
"1487","raspberries",1
"1488","ratt",1
"1490","ray conniff singers",1
"1491","ray goodman  brown",1
"1500","rednex",1
"1501","regina",1
"1504","restless heart",1
"1505","rex smith",1
"1506","rhythm heritage",1
"1507","rich boy",1
"1508","rich gang",1
"1509","rich homie quan",1
"1510","richard harris",1
"1512","richie havens",1
"1514","rick dees  his cast of idiots",1
"1515","rick james",1
"1516","rick ross",1
"1518","rickie lee jones",1
"1520","ricky martin and christina aguilera",1
"1521","ricky nelson",1
"1522","right said fred",1
"1524","rihanna kanye west and paul mccartney",1
"1527","rixton",1
"1529","robbie dupree",1
"1530","robbie nevil",1
"1532","robert knight",1
"1533","robert miles",1
"1535","robert parker",1
"1538","robin mcnamara",1
"1539","robin s",1
"1542","rocko",1
"1543","rockwell",1
"1544","rocky burnette",1
"1546","rodney atkins",1
"1547","roger miller",1
"1548","roger troutman",1
"1549","roger voudouris",1
"1550","roger williams",1
"1551","rome",1
"1552","ronnie dyson",1
"1554","rosanne cash",1
"1557","roy head",1
"1558","royal philharmonic orchestra",1
"1560","ruff endz",1
"1562","rufus  chaka khan",1
"1563","rundmc",1
"1566","rythm syndicate",1
"1567","s club 7",1
"1569","safire",1
"1570","sailcat",1
"1572","saltnpepa and en vogue",1
"1573","sam  dave",1
"1574","sam and dave",1
"1575","sam cooke",1
"1580","samantha mumba",1
"1581","samantha sang",1
"1582","sammi smith",1
"1583","sammie",1
"1585","sammy hagar",1
"1586","sammy johns",1
"1588","sanfordtownsend band",1
"1589","santa esmeralda",1
"1594","saving abel",1
"1595","scandal",1
"1596","scarface",1
"1597","schoolboy q",1
"1598","scorpions",1
"1599","scott mckenzie",1
"1600","scritti politti",1
"1604","sean kingston and justin bieber",1
"1606","secondhand serenade",1
"1607","seduction",1
"1611","shadows of knight",1
"1614","shakespears sister",1
"1619","shannon",1
"1621","shawn colvin",1
"1622","shawn mendes",1
"1623","shawn mullins",1
"1626","sheriff",1
"1628","shinedown",1
"1629","shirley bassey",1
"1630","shirley ellis",1
"1631","shocking blue",1
"1632","shontelle",1
"1633","shop boyz",1
"1634","shorty long",1
"1636","silento",1
"1638","silver",1
"1643","sinead oconnor",1
"1644","sir douglas quintet",1
"1645","sir mixalot",1
"1648","sister janet mead",1
"1650","sixpence none the richer",1
"1651","skeelo",1
"1653","skrillex and diplo",1
"1654","skylark",1
"1655","slim harpo",1
"1657","sly fox",1
"1659","smith",1
"1663","snoop dogg and wiz khalifa",1
"1665","snow",1
"1667","soft cell",1
"1669","son by four",1
"1670","sonique",1
"1672","sonny bono",1
"1677","souldecision",1
"1679","sounds orchestral",1
"1680","spandau ballet",1
"1682","spin doctors",1
"1683","spiral starecase",1
"1684","ssgt barry sadler",1
"1685","stacey q",1
"1686","staind",1
"1687","starbuck",1
"1688","starland vocal band",1
"1689","starpoint",1
"1690","stars on 45",1
"1692","status quo",1
"1693","stealers wheel",1
"1697","steve forbert",1
"1698","steve holy",1
"1700","steve perry",1
"1704","stevie nicks  tom petty",1
"1705","stevie nicks and don henley",1
"1708","stories",1
"1709","strawberry alarm clock",1
"1712","subway",1
"1714","sugarland",1
"1716","sunshine anderson",1
"1720","suzanne vega",1
"1721","suzi quatro  chris norman",1
"1722","swedish house mafia",1
"1724","sweet inspirations",1
"1725","sweet sensation",1
"1726","swing out sister",1
"1727","switchfoot",1
"1729","swv and puff daddy",1
"1730","sylke fyne",1
"1731","sylvia",1
"1732","t rex",1
"1733","taco",1
"1737","tal bachman",1
"1738","tamia",1
"1740","tatyana ali",1
"1743","taylor hicks",1
"1747","teddy geiger",1
"1748","tee set",1
"1749","teena marie",1
"1751","teri desario  kc",1
"1752","terri gibbs",1
"1753","terror squad",1
"1754","terry jacks",1
"1757","thal'ia",1
"1759","the ad libs",1
"1762","the allman brothers band",1
"1763","the american breed",1
"1765","the archies",1
"1768","the babys",1
"1771","the barkays",1
"1774","the beatles with billy preston",1
"1776","the bee gees",1
"1777","the beginning of the end",1
"1778","the bellamy brothers",1
"1779","the bells",1
"1781","the blackbyrds",1
"1782","the blackout allstars",1
"1784","the brotherhood of man",1
"1787","the buoys",1
"1788","the byrds",1
"1789","the calling",1
"1790","the capitols",1
"1793","the casinos",1
"1794","the chakachas",1
"1795","the chambers brothers",1
"1796","the charlie daniels band",1
"1797","the chilites",1
"1798","the clash",1
"1799","the click five",1
"1803","the crazy world of arthur brown",1
"1804","the cuff links",1
"1806","the cyrkle",1
"1810","the detroit emeralds",1
"1811","the dirt band",1
"1815","the easybeats",1
"1816","the electric prunes",1
"1817","the emotions",1
"1819","the esquires",1
"1820","the fireballs",1
"1821","the first class",1
"1822","the floaters",1
"1823","the flying machine",1
"1829","the free movement",1
"1831","the fuzz",1
"1839","the hillside singers",1
"1841","the hombres",1
"1842","the honey cone",1
"1843","the honeydrippers",1
"1844","the hues corporation",1
"1845","the human beinz",1
"1847","the ides of march",1
"1848","the intruders",1
"1849","the irish rovers",1
"1854","the jaggerz",1
"1855","the jeff healey band",1
"1857","the killers",1
"1858","the kingsmen",1
"1861","the knack",1
"1862","the left banke",1
"1863","the lemon pipers",1
"1866","the lox",1
"1870","the manhattan transfer",1
"1872","the marshall tucker band",1
"1873","the marvelettes",1
"1874","the mccoys",1
"1875","the mills brothers",1
"1876","the mindbenders",1
"1878","the moments",1
"1881","the motels",1
"1882","the music explosion",1
"1883","the neighbourhood",1
"1886","the oak ridge boys",1
"1888","the okaysions",1
"1891","the outfield",1
"1892","the outsiders",1
"1894","the pipkins",1
"1897","the poppy family",1
"1899","the proclaimers",1
"1900","the pussycat dolls",1
"1902","the red jumpsuit apparatus",1
"1905","the romantics",1
"1906","the royal guardsmen",1
"1909","the searchers",1
"1911","the shades of blue",1
"1912","the smashing pumpkins",1
"1913","the sos band",1
"1914","the soul survivors",1
"1915","the spencer davis group",1
"1917","the stampeders",1
"1918","the standells",1
"1920","the strangeloves",1
"1923","the supremes  the temptations",1
"1924","the surfaris",1
"1926","the system",1
"1927","the tbones",1
"1929","the three degrees",1
"1931","the tony rich project",1
"1932","the trammps",1
"1935","the tubes",1
"1937","the undisputed truth",1
"1938","the ventures",1
"1939","the veronicas",1
"1940","the verve",1
"1941","the verve pipe",1
"1943","the wanted",1
"1944","the watts 103rd street rhythm band",1
"1946","the whispers",1
"1948","the winstons",1
"1951","the youngbloods",1
"1954","thelma houston",1
"1955","thin lizzy",1
"1957","thomas dolby",1
"1958","thomas rhett",1
"1959","thompson square",1
"1964","tierra",1
"1966","til tuesday",1
"1968","tim mcgraw and faith hill",1
"1970","timbaland  magoo",1
"1971","timex social club",1
"1972","timmy t",1
"1973","timmy thomas",1
"1975","tinashe",1
"1976","tinie tempah",1
"1978","toad the wet sprocket",1
"1979","toby beau",1
"1982","tom cochrane",1
"1986","tom t hall",1
"1987","tommy boyce  bobby hart",1
"1988","tommy james",1
"1990","tommy page",1
"1992","tommy tutone",1
"1994","toni basil",1
"1996","tony joe white",1
"2002","tower of power",1
"2005","tpau",1
"2006","tq",1
"2007","trace adkins",1
"2008","tracey ullman",1
"2009","tracie spencer",1
"2012","trapt",1
"2013","travie mccoy",1
"2014","travis tritt",1
"2017","trillville",1
"2018","truth hurts",1
"2019","twayne",1
"2020","tweet",1
"2022","tyga",1
"2023","tyler collins",1
"2030","uncle sam",1
"2032","us3",1
"2033","usa for africa",1
"2037","van mccoy  the soul city symphony",1
"2038","van morrison",1
"2039","vance joy",1
"2040","vanessa carlton",1
"2042","vanessa williams and brian mcknight",1
"2043","vangelis",1
"2044","vanilla fudge",1
"2046","vanity fare",1
"2047","various artists",1
"2048","vertical horizon",1
"2049","vic dana",1
"2050","vicki lawrence",1
"2051","vicki sue robinson",1
"2052","vikki carr",1
"2054","voices of theory",1
"2055","wadsworth mansion",1
"2056","waka flocka flame",1
"2057","wale",1
"2058","walk the moon",1
"2059","walter egan",1
"2060","walter murphy  the big apple band",1
"2065","wayne fontana  the mindbenders",1
"2066","wayne newton",1
"2067","wayne wonder",1
"2068","we five",1
"2070","weezer",1
"2071","westlife",1
"2072","wet willie",1
"2074","when in rome",1
"2076","white plains",1
"2077","white town",1
"2080","whitney houston and mariah carey",1
"2081","wild cherry",1
"2084","willa ford",1
"2086","william devaughn",1
"2087","willie mitchell",1
"2088","willie nelson",1
"2091","wing and a prayer fife and drum corps",1
"2092","winger",1
"2095","wreckxneffect",1
"2097","x ambassadors",1
"2100","yg",1
"2102","ylvis",1
"2103","young dro",1
"2104","young gunz",1
"2106","young mc",1
"2110","yvonne elliman",1
"2112","zager  evans",1
